"Title","Type_Episodes","Airing_Period","Members","Score"
"Koukaku Kidoutai: Stand Alone Complex 2nd GIG","TV (26 eps)","Jan 2004 - Jan 2005","232,470","8.51"
"Samurai Champloo","TV (26 eps)","May 2004 - Mar 2005","1,278,787","8.51"
"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai","TV (39 eps)","Apr 2016 - Dec 2016","1,172,005","8.50"
"Ousama Ranking","TV (23 eps)","Oct 2021 - Mar 2022","688,425","8.50"
"Tian Guan Cifu Special","ONA (1 eps)","Feb 2021 - Feb 2021","53,335","8.50"
"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Movie (1 eps)","Oct 2013 - Oct 2013","393,913","8.49"
"Mob Psycho 100","TV (12 eps)","Jul 2016 - Sep 2016","2,165,392","8.49"
"One Punch Man","TV (12 eps)","Oct 2015 - Dec 2015","3,328,033","8.49"
"Ansatsu Kyoushitsu 2nd Season","TV (25 eps)","Jan 2016 - Jul 2016","1,483,827","8.48"
"Aria the Origination","TV (13 eps)","Jan 2008 - Apr 2008","133,780","8.48"
"Spy x Family","TV (12 eps)","Apr 2022 - Jun 2022","1,682,518","8.48"
"Uchuu Kyoudai","TV (99 eps)","Apr 2012 - Mar 2014","199,972","8.48"
"Yakusoku no Neverland","TV (12 eps)","Jan 2019 - Mar 2019","2,036,338","8.48"
"Summertime Render","TV (25 eps)","Apr 2022 - Sep 2022","586,242","8.47"
"Nichijou","TV (26 eps)","Apr 2011 - Sep 2011","929,870","8.47"
"Chainsaw Man","TV (12 eps)","Oct 2022 - Dec 2022","1,666,263","8.47"
"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly","Movie (1 eps)","Jan 2019 - Jan 2019","405,838","8.47"
"Banana Fish","TV (24 eps)","Jul 2018 - Dec 2018","900,941","8.46"
"Chihayafuru 3","TV (24 eps)","Oct 2019 - Mar 2020","147,143","8.46"
"Gintama: The Semi-Final","Special (2 eps)","Jan 2021 - Jan 2021","82,917","8.46"
"Yuu☆Yuu☆Hakusho","TV (112 eps)","Oct 1992 - Jan 1995","714,569","8.46"
"Mo Dao Zu Shi","ONA (15 eps)","Jul 2018 - Oct 2018","240,113","8.46"
"Mo Dao Zu Shi: Xian Yun Pian","ONA (8 eps)","Aug 2019 - Sep 2019","110,510","8.46"
"Pluto","ONA (8 eps)","Oct 2023 - Oct 2023","196,923","8.46"
"Rainbow: Nisha Rokubou no Shichinin","TV (26 eps)","Apr 2010 - Sep 2010","406,726","8.46"
"Owarimonogatari","TV (12 eps)","Oct 2015 - Dec 2015","490,887","8.45"
"Doupo Cangqiong: Nian Fan","ONA (157 eps)","Jul 2022 -","8,978","8.45"
